Freguesia,Indice_Envelhecimento_2021,Proporcao_Populacao_Residente_Estrangeira_2021,Densidade_Populacional_2021,Variacao_Relativa_Populacao_Residente_2011_2021,Número_Residencia_Habitual_2011,Número_Residencia_Secundaria_2011,Número_Vago_Venda_Arrendamento_2011,Número_Vago_Outros_Motivos_2011,Número_Residencia_Habitual_2021,Número_Residencia_Secundaria_2021,Número_Vago_Venda_Arrendamento_2021,Número_Vago_Outros_Motivos_2021,Número_Total_Alojamentos_2021,Area_Freguesia_km2,Densidade_Alojamentos_Familiares_Classicos_2021,Percentagem_Residencia_Habitual_2021,Percentagem_Residencia_Secundaria_2021,Indice_Pressao_Habitacional_2021,Pct_Fogos_Vagos_2021,Número_Agregados_1_Pessoa_2021,Número_Agregados_2_Pessoas_2021,Número_Agregados_3_Pessoas_2021,Número_Agregados_4_Pessoas_2021,Número_Agregados_5_Pessoas_2021,Número_Agregados_6_Pessoas_2021,Número_Agregados_7_Pessoas_2021,Número_Agregados_8_Pessoas_2021,Número_Agregados_9_Mais_Pessoas_2021,Total_Agregados_2021,Dimensao_Media_Agregados_2021,Proporcao_Populacao_Residente_Ensino_Superior_Completo_2021,Variacao_absoluta_Proporcao_Populacao_Residente_Ensino_Superior_Completo_2011_2021,PCT_Edificios_Antigos,PCT_Edificios_Intermediarios,PCT_Edificios_Modernos
Estrela,170.4,14.35,"4405,87",0.6905802861685214,8738,1278,945,2136,8921,1172,915,1649,12657,4.6,2751.521739130435,70.48273682547207,9.2596981907245,1.0354220378881291,20.257564983803427,3608,2828,1271,916,416,145,34,9,10,9237,2.1750568366352714,53.74,13.780000000000001,0.7677094570298454,0.15929521754764472,0.07299532542250989
Lumiar,96.26,5.08,"7052,36",1.5985089354237474,18440,2733,1092,1073,19547,2496,887,1143,24073,6.57,3664.0791476407912,81.19885348730944,10.368462592946456,1.0003069524735253,8.432683919744113,6016,6266,3504,2731,742,172,65,25,32,19553,2.3356518181353243,60.63,6.410000000000004,0.11,0.6547368421052632,0.23526315789473684
Marvila,135.01,5.42,"4983,01",-6.122826978540999,13877,1184,402,1032,14104,1180,671,818,16773,7.12,2355.758426966292,84.08752161211471,7.035115960174089,1.0019852524106636,8.877362427711203,3701,4552,2960,1792,695,278,85,44,25,14132,2.4885366544013587,14.93,5.26,0.2677852348993289,0.6604026845637584,0.07181208053691275
Misericórdia,228.94,18.67,"4410,05",-25.958295001533273,6268,1409,1330,1482,4864,924,1847,1022,8657,2.19,3952.9680365296804,56.18574563936699,10.673443456162643,1.0004111842105263,33.14081090447037,2232,1498,600,343,125,38,15,9,6,4866,1.9490341142622276,39.66,9.819999999999997,0.8948679621325362,0.061285500747384154,0.04384653712007972
Olivais,247.53,5.8,"3977,63",-4.762045696697053,14211,1553,301,873,13986,1201,578,1177,16942,8.09,2094.1903584672436,82.55223704403258,7.088891512218157,1.0,10.358871443749262,4473,4583,2521,1635,513,167,65,18,11,13986,2.2885027885027887,31.83,9.459999999999997,0.33673841663626414,0.5994162714337833,0.06384531192995258
Parque das Nações,49.47,9.55,"4114,34",6.45422116527943,8283,1485,1074,671,9023,1147,495,656,11321,5.44,2081.0661764705883,79.70143980213761,10.131613815034008,1.0,10.166946382828373,2525,2708,1624,1606,412,105,26,11,6,9023,2.4660312534633713,56.07,3.25,0.09523809523809523,0.4453024453024453,0.4594594594594595
Penha de França,246.69,14.93,"10507,38",1.8164265026638537,13016,1882,861,2026,13241,1583,1485,1382,17691,2.71,6528.044280442805,74.84596687581256,8.948052682154769,1.0005286609772677,16.205980442032672,4918,4545,2110,1128,337,96,51,30,33,13248,2.1139039855072466,35.02,11.940000000000005,0.7298969072164948,0.2424742268041237,0.027628865979381443
Santa Clara,77.84,8.65,"7037,2",5.182384341637011,8580,748,505,1083,9188,720,537,455,10900,3.36,3244.0476190476193,84.29357798165138,6.605504587155964,1.002829777971267,9.100917431192661,2586,2682,1776,1288,490,237,77,48,30,9214,2.5499240286520513,26.0,5.34,0.2752238805970149,0.5229850746268657,0.2017910447761194
Santa Maria Maior,258.83,33.28,"3339,2",-21.61129309000156,5926,1285,1117,2324,4545,732,1377,1038,7692,3.01,2555.481727574751,59.08736349453978,9.51638065522621,1.0041804180418041,31.396255850234013,1993,1371,560,325,132,65,50,17,51,4564,2.1275197195442592,29.01,8.060000000000002,0.8645096056622852,0.10161779575328615,0.03387259858442872
Santo António,213.25,17.34,"7422,82",-6.556269009800609,5482,1043,791,1153,5163,1003,1216,870,8252,1.49,5538.255033557047,62.56665050896753,12.154629180804653,1.0013558008909549,25.278720310227826,2109,1638,674,498,173,53,13,3,9,5170,2.0847195357833654,54.62,13.309999999999995,0.7743031951053705,0.150237933378654,0.07545887151597552
São Domingos de Benfica,199.49,6.31,"7943,12",3.126229458584269,14833,2028,847,2125,15852,2371,867,1219,20309,4.29,4734.032634032634,78.05406470037914,11.674627012654488,1.0008831693161746,10.27130828696637,5705,5453,2434,1714,424,92,26,7,11,15866,2.1289549981091644,57.26,9.329999999999998,0.36964078794901506,0.5237543453070683,0.10660486674391657
São Vicente,260.91,19.86,"7013,07",-9.01623313123411,7416,1216,1003,1203,6928,804,1327,1111,10170,1.99,5110.552763819095,68.12192723697149,7.905604719764011,1.0001443418013858,23.972468043264502,2869,2361,1004,481,115,56,24,8,11,6929,1.9871554336845143,35.05,13.099999999999998,0.8392382639503986,0.1275465013286094,0.033215234720992026
