date,Year,Month,parish,price_m2,imputed_flag,Num_Estacoes_Metro,Num_Estacoes_Comboio,Num_Prestadores_Saude,Area_km2,Densidade_Estacoes_Metro_km2,Densidade_Estacoes_Comboio_km2,Densidade_Prestadores_Saude_km2,Num_Estabelecimentos_Ensino_Superior,Densidade_Estabelecimentos_Ensino_Superior_km2,Num_Escolas_Publicas,Densidade_Escolas_Publicas_km2,Num_Escolas_Privadas,Densidade_Escolas_Privadas_km2,Num_Jardins_Parques_Urbanos,Densidade_Jardins_Parques_Urbanos_km2,Num_Museus,Densidade_Museus_km2,Num_Mercados,Densidade_Mercados_km2,Num_Supermercados,Densidade_Supermercados_km2,MeanNightimeRadianceVIIRS,date_key,Stock_12M_PED_Nova_Construcao_Area,Stock_12M_PED_Reabilitacao_Area,Stock_12M_PED_Nova_Construcao_Count,Stock_12M_PED_Reabilitacao_Count,Stock_12M_PED_Demolicao_Area,Stock_12M_PED_Demolicao_Count,Racio_Gentrificacao_PED_Area,Racio_Gentrificacao_PED_Count,Stock_12M_ALV_Nova_Construcao_Area,Stock_12M_ALV_Reabilitacao_Area,Stock_12M_ALV_Nova_Construcao_Count,Stock_12M_ALV_Reabilitacao_Count,Stock_12M_ALV_Demolicao_Area,Stock_12M_ALV_Demolicao_Count,Racio_Gentrificacao_ALV_Area,Racio_Gentrificacao_ALV_Count,Densidade_AL_km2,Densidade_Capacidade_km2,capacidade_media_por_al,al_growth_rate,racio_mercado_informal,Indice_Envelhecimento_2021,Proporcao_Populacao_Residente_Estrangeira_2021,Densidade_Populacional_2021,Variacao_Relativa_Populacao_Residente_2011_2021,Número_Residencia_Habitual_2011,Número_Residencia_Secundaria_2011,Número_Vago_Venda_Arrendamento_2011,Número_Vago_Outros_Motivos_2011,Número_Residencia_Habitual_2021,Número_Residencia_Secundaria_2021,Número_Vago_Venda_Arrendamento_2021,Número_Vago_Outros_Motivos_2021,Número_Total_Alojamentos_2021,Area_Freguesia_km2,Densidade_Alojamentos_Familiares_Classicos_2021,Percentagem_Residencia_Habitual_2021,Percentagem_Residencia_Secundaria_2021,Indice_Pressao_Habitacional_2021,Pct_Fogos_Vagos_2021,Número_Agregados_1_Pessoa_2021,Número_Agregados_2_Pessoas_2021,Número_Agregados_3_Pessoas_2021,Número_Agregados_4_Pessoas_2021,Número_Agregados_5_Pessoas_2021,Número_Agregados_6_Pessoas_2021,Número_Agregados_7_Pessoas_2021,Número_Agregados_8_Pessoas_2021,Número_Agregados_9_Mais_Pessoas_2021,Total_Agregados_2021,Dimensao_Media_Agregados_2021,Proporcao_Populacao_Residente_Ensino_Superior_Completo_2021,Variacao_absoluta_Proporcao_Populacao_Residente_Ensino_Superior_Completo_2011_2021,PCT_Edificios_Antigos,PCT_Edificios_Intermediarios,PCT_Edificios_Modernos
2016-08-01,2016,8,Alvalade,11.1,0,3,1,4,5.34,0.5617977528089888,0.1872659176029962,0.7490636704119851,12,2.247191011235955,15,2.808988764044944,39,7.3033707865168545,8,1.49812734082397,3,0.5617977528089888,2,0.3745318352059925,3,0.5617977528089888,105.74255853817498,2016-08,1489.25,36604.64892578125,3.0,62.0,0.0,0.0,24.57924892923039,20.665977800739974,1195.4326171875,12903.15234375,1.0,25.0,0.0,0.0,10.793708552755112,24.997500249975,5.430711610486892,43.63295880149813,8.03448275862069,0.2608695652173913,0.0,239.34,5.38,"6237,64",4.702480118190676,14104,2477,642,1534,14765,1659,888,1559,18871,5.34,3533.8951310861426,78.24174659530496,8.791267023475173,1.0010159160176093,12.96698638121986,5328,4656,2370,1734,515,113,39,13,12,14780,2.1937753721244926,56.03,13.04,0.7135395741261551,0.2466854158296504,0.0397750100441944
2016-08-01,2016,8,Areeiro,11.1,0,1,0,0,1.74,0.5747126436781609,0.0,0.0,1,0.5747126436781609,4,2.2988505747126435,10,5.747126436781609,8,4.597701149425287,0,0.0,1,0.5747126436781609,7,4.022988505747127,130.4488005887545,2016-08,1833.546875,13408.02099609375,2.0,35.0,0.0,0.0,7.312613845682219,17.49912504374781,0.0,4415.2041015625,0.0,12.0,0.0,0.0,44152041.015625,120000.0,27.011494252873565,282.18390804597703,10.4468085106383,0.0,0.1489361702127659,208.12,7.86,"12302,33",5.111519546967363,8991,1553,782,1203,9452,1319,1028,730,12529,1.74,7200.574712643678,75.44097693351425,10.527576023625189,1.0006347862886162,14.031447042860565,3362,3046,1484,1068,349,101,28,7,13,9458,2.209558046098541,55.88,11.770000000000003,0.6884531590413944,0.2643427741466957,0.0472040668119099
2016-08-01,2016,8,Arroios,11.8,0,4,0,6,2.13,1.8779342723004693,0.0,2.8169014084507045,3,1.4084507042253522,8,3.755868544600939,27,12.67605633802817,6,2.8169014084507045,1,0.4694835680751174,1,0.4694835680751174,3,1.4084507042253522,109.03979285661562,2016-08,21027.23437500005,75876.56152343756,8.0,145.0,2239.19482421875,3.0,3.608489818936942,18.124773440332,697.8017578125,17685.4912109375,2.0,44.0,561.4599609375,1.0,25.34457455642029,21.998900054997247,205.6338028169014,1816.9014084507044,8.835616438356164,0.0503597122302157,0.0136986301369863,236.25,23.33,"15634,74",5.209616781979591,14327,2582,1544,2558,15025,1933,1559,2331,20848,2.13,9787.793427230048,72.06926323867997,9.271872601688411,1.0019301164725458,18.65886415963162,5702,4936,2177,1388,479,169,92,42,69,15054,2.169988043045038,46.49,14.560000000000002,0.7720961733830003,0.1842194378598036,0.043684388757196
2016-08-01,2016,8,Avenidas Novas,12.1,0,6,1,5,2.99,2.0066889632107023,0.334448160535117,1.672240802675585,2,0.6688963210702341,5,1.672240802675585,17,5.68561872909699,9,3.0100334448160533,3,1.0033444816053512,1,0.334448160535117,10,3.34448160535117,131.5374289614881,2016-08,11068.6357421875,86140.96911100479,5.0,105.0,0.0,0.0,7.782437722152101,20.999580008399832,1197.8623046875,38036.267578125,2.0,47.0,0.0,0.0,31.753453008693395,23.49882505874706,38.79598662207358,494.6488294314381,12.75,0.1958762886597937,0.0086206896551724,209.78,9.97,"7779,6",7.565317919075144,9607,2005,969,1846,10432,2087,1034,1224,14777,2.99,4942.140468227424,70.59619679231238,14.123299722541788,1.0012461656441718,15.280503485145836,3937,3286,1512,1109,432,119,34,9,7,10445,2.175969363331738,61.13,11.830000000000004,0.541785105173394,0.3501989766913019,0.1080159181353041
2016-08-01,2016,8,Belém,10.433333333333334,1,0,1,1,10.43,0.0,0.0958772770853307,0.0958772770853307,1,0.0958772770853307,10,0.9587727708533078,41,3.930968360498562,12,1.1505273250239694,9,0.862895493767977,0,0.0,0,0.0,63.7856171504876,2016-08,4968.3173828125,40262.87484624237,6.0,92.0,885.10302734375,11.0,8.103925521170614,15.333077782036966,2742.32137685921,13726.55322265625,8.0,33.0,885.10302734375,11.0,5.005450067939269,4.124948438144523,5.656759348034516,30.00958772770853,5.305084745762712,0.0535714285714286,0.0,183.08,7.12,"1586,39",0.1089060987415295,6997,913,551,978,7154,791,550,879,9374,10.43,898.7535953978908,76.31747386387882,8.4382334115639,1.0001397819401734,15.244292724557289,2445,2283,1081,872,340,97,26,6,5,7155,2.277987421383648,56.95,9.670000000000002,0.5694974003466204,0.3403812824956672,0.0901213171577123
2016-08-01,2016,8,Benfica,8.9,0,1,1,3,8.02,0.1246882793017456,0.1246882793017456,0.3740648379052369,3,0.3740648379052369,14,1.745635910224439,17,2.119700748129676,7,0.8728179551122195,0,0.0,2,0.2493765586034912,4,0.4987531172069825,69.78602995412558,2016-08,452.16357421875,13793.0146484375,1.0,28.0,152.638671875,1.0,30.50447312528836,27.997200279972,0.0,13300.33056640625,0.0,13.0,396.35205078125,1.0,133003305.6640625,130000.0,0.9975062344139652,5.112219451371572,5.125,0.0,0.0,263.21,5.98,"4409,23",-4.3882655130458295,16577,2223,807,1682,16488,1958,998,1436,20880,8.02,2603.491271820449,78.96551724137932,9.377394636015325,1.0006065016982049,11.657088122605364,5949,5767,2561,1607,395,123,52,23,21,16498,2.124136258940477,40.47,10.45,0.4115523465703971,0.529482551143201,0.0589651022864019
2016-08-01,2016,8,Campo de Ourique,11.2,0,0,0,2,1.65,0.0,0.0,1.2121212121212122,1,0.6060606060606061,13,7.878787878787879,21,12.727272727272728,2,1.2121212121212122,3,1.8181818181818183,1,0.6060606060606061,2,1.2121212121212122,106.57277094118638,2016-08,696.62841796875,53119.984193608165,3.0,76.0,0.0,0.0,76.2529566669148,25.3324889170361,1552.57958984375,38616.39563331008,3.0,27.0,159.59912109375,1.0,24.87240808695391,8.999700009999666,53.939393939393945,343.6363636363637,6.370786516853933,0.1265822784810126,0.0,221.51,11.26,"13418,18",0.0904159132007233,10346,1432,777,1222,10370,998,978,1278,13624,1.65,8256.969696969698,76.11567821491487,7.325308279506753,1.000096432015429,16.559013505578392,4094,3290,1427,1067,355,103,27,6,2,10371,2.1088612477099606,47.01,12.86,0.6895570906135717,0.2584315318976026,0.0520113774888256
2016-08-01,2016,8,Campolide,11.0,0,1,1,1,2.77,0.3610108303249097,0.3610108303249097,0.3610108303249097,1,0.3610108303249097,4,1.444043321299639,9,3.249097472924188,5,1.8050541516245489,0,0.0,0,0.0,0,0.0,122.08726594569166,2016-08,844.6328125,9445.75390625,4.0,33.0,0.0,0.0,11.183265258148465,8.249793755156121,0.0,9698.0576171875,0.0,14.0,0.0,0.0,96980576.171875,140000.0,7.581227436823105,34.29602888086642,4.523809523809524,0.0,0.0,205.92,10.48,"5338,27",-4.353169469598965,6581,1007,636,1000,6636,884,611,972,9103,2.77,3286.2815884476536,72.89904427111941,9.711084257936944,1.0009041591320071,17.389871470943643,2529,2165,1038,639,191,55,15,5,5,6642,2.1084010840108403,36.34,10.520000000000003,0.6314855875831485,0.3073170731707317,0.0611973392461197
2016-08-01,2016,8,Estrela,12.5,0,0,3,7,4.6,0.0,0.6521739130434783,1.5217391304347827,1,0.2173913043478261,3,0.6521739130434783,16,3.4782608695652177,10,2.173913043478261,3,0.6521739130434783,0,0.0,0,0.0,83.24532340206417,2016-08,13984.10009765625,66832.19533697516,10.0,155.0,0.0,0.0,4.779155926541224,15.499845001549986,1718.650390625,15226.580951206386,5.0,46.0,0.0,0.0,8.859614583805882,9.199816003679928,48.69565217391305,266.304347826087,5.46875,0.0566037735849056,0.0,170.4,14.35,"4405,87",0.6905802861685214,8738,1278,945,2136,8921,1172,915,1649,12657,4.6,2751.521739130435,70.48273682547207,9.2596981907245,1.0354220378881291,20.257564983803427,3608,2828,1271,916,416,145,34,9,10,9237,2.1750568366352714,53.74,13.78,0.7677094570298454,0.1592952175476447,0.0729953254225098
2016-08-01,2016,8,Lumiar,9.2,0,4,0,5,6.57,0.60882800608828,0.0,0.76103500761035,1,0.15220700152207,17,2.5875190258751903,37,5.631659056316591,7,1.06544901065449,2,0.30441400304414,0,0.0,7,1.06544901065449,114.73853940275605,2016-08,6472.75830078125,66858.50439453131,7.0,18.0,0.0,0.0,10.329213645060753,2.571391837259468,3113.8369140625,4125.417968750007,6.0,8.0,0.0,0.0,1.3248663787215174,1.3333111114814753,3.8051750380517504,19.7869101978691,5.2,0.0416666666666667,0.04,96.26,5.08,"7052,36",1.5985089354237474,18440,2733,1092,1073,19547,2496,887,1143,24073,6.57,3664.0791476407912,81.19885348730944,10.368462592946456,1.0003069524735253,8.432683919744113,6016,6266,3504,2731,742,172,65,25,32,19553,2.3356518181353243,60.63,6.410000000000004,0.11,0.6547368421052632,0.2352631578947368
